grasp_center: [-0.00160915 -0.47934105  1.29714868]
grasp_center: [-0.11163416 -0.48405184  1.29960027]
grasp_center: [-0.03361242 -0.48071129  1.29181373]
grasp_center: [-0.01412499 -0.47987692  1.28846776]
grasp_center: [-0.02237771 -0.48023027  1.2879819 ]
grasp_center: [-0.01417593 -0.4798791   1.29281196]
grasp_center: [-0.01595322 -0.4799552   1.26715163]
grasp_center: [-0.0138845  -0.47986662  1.26712494]
grasp_center: [-0.03498521 -0.48077007  1.29910012]
grasp_center: [-0.09836617 -0.48348376  1.27445969]
grasp_center: [ 0.07452269 -0.47608141  1.28597771]
grasp_center: [ 0.05471189 -0.47692962  1.27625929]
grasp_center: [-0.05306225 -0.48154405  1.27520324]
grasp_center: [ 0.00855425 -0.47890589  1.26712925]
grasp_center: [ 0.01608816 -0.47858332  1.29649408]
grasp_center: [-0.01330329 -0.47984174  1.3009356 ]
grasp_center: [-0.08123723 -0.48275038  1.27323961]
grasp_center: [ 0.03493946 -0.47777619  1.26797823]
grasp_center: [-0.05627562 -0.48168163  1.28832227]
grasp_center: [-2.53160379e-04 -4.79282989e-01  1.28994387e+00]
grasp_center: [-0.06758616 -0.4821659   1.27136819]
grasp_center: [-0.0427693  -0.48110335  1.26706841]
grasp_center: [-0.0522789  -0.48151051  1.27328614]
grasp_center: [-0.10430425 -0.48373801  1.30259269]
grasp_center: [-0.08911142 -0.48308752  1.27131756]
grasp_center: [-0.08663769 -0.4829816   1.28610399]
grasp_center: [-0.06668421 -0.48212728  1.2806104 ]
grasp_center: [-0.05057328 -0.48143748  1.30992411]
grasp_center: [ 1.03677643e-03 -4.79227760e-01  1.27946115e+00]
grasp_center: [-0.0069162  -0.47956827  1.30974523]
grasp_center: [-0.01709831 -0.48000423  1.2670794 ]
grasp_center: [-0.04803016 -0.48132859  1.27000788]
grasp_center: [-0.01184433 -0.47977927  1.30630406]
grasp_center: [-0.07083419 -0.48230496  1.30199439]
grasp_center: [-0.07463077 -0.48246752  1.28329705]
grasp_center: [-0.02936522 -0.48052944  1.26888212]
grasp_center: [-0.04055316 -0.48100846  1.29001207]
grasp_center: [-0.05329304 -0.48155393  1.26851065]
grasp_center: [ 0.0623103  -0.47660429  1.27573506]
grasp_center: [-0.00788356 -0.47960969  1.29647655]
grasp_center: [-0.036495   -0.48083471  1.3055607 ]
grasp_center: [-0.05319159 -0.48154958  1.2672098 ]
grasp_center: [-0.02443031 -0.48031815  1.30882955]
grasp_center: [ 0.03049335 -0.47796656  1.27549531]
grasp_center: [ 0.02457621 -0.4782199   1.30909152]
grasp_center: [-0.12515085 -0.48463057  1.30772854]
grasp_center: [-0.00524762 -0.47949683  1.27302077]
grasp_center: [-0.03744765 -0.4808755   1.27108293]
grasp_center: [-0.03558839 -0.48079589  1.27335118]
grasp_center: [-0.05741079 -0.48173023  1.27101208]
grasp_center: [-0.05724229 -0.48172302  1.2704121 ]
grasp_center: [-8.38432971e-04 -4.79308048e-01  1.30680690e+00]
grasp_center: [-0.00344226 -0.47941953  1.26815039]
grasp_center: [ 0.00594498 -0.47901761  1.29302051]
grasp_center: [-0.0066592  -0.47955727  1.28251714]
grasp_center: [ 0.01596373 -0.47858865  1.26717169]
grasp_center: [-0.11072274 -0.48401282  1.28287764]
grasp_center: [-0.02878664 -0.48050467  1.27598387]
grasp_center: [-0.00600497 -0.47952926  1.30597255]
grasp_center: [-0.0224113  -0.48023171  1.26816235]
grasp_center: [-0.00361814 -0.47942706  1.27811879]
grasp_center: [-0.06117457 -0.48189138  1.27878661]
grasp_center: [ 0.00862506 -0.47890286  1.29101208]
grasp_center: [-0.04573934 -0.48123051  1.30209889]
grasp_center: [-0.08147463 -0.48276054  1.27550878]
grasp_center: [-0.03098802 -0.48059892  1.29352365]
grasp_center: [-0.02699296 -0.48042787  1.27139362]
grasp_center: [-0.02129309 -0.48018383  1.27278628]
grasp_center: [-0.13528541 -0.48506449  1.2790688 ]
grasp_center: [-0.09684662 -0.4834187   1.26854659]
grasp_center: [-0.01670412 -0.47998735  1.27193981]
grasp_center: [-0.01215044 -0.47979238  1.28532395]
grasp_center: [-0.05173178 -0.48148708  1.27647091]
grasp_center: [-0.01992435 -0.48012522  1.27215356]
grasp_center: [-0.02318578 -0.48026486  1.28645507]
grasp_center: [-0.0128048  -0.4798204   1.30553056]
grasp_center: [-0.01306951 -0.47983173  1.28202492]
grasp_center: [ 0.00341019 -0.47912614  1.2850907 ]
grasp_center: [ 0.01918637 -0.47845067  1.27520319]
grasp_center: [ 0.06092834 -0.47666346  1.29053637]
grasp_center: [-0.03336637 -0.48070075  1.27443629]
grasp_center: [-0.03499072 -0.4807703   1.26763646]
grasp_center: [-0.00183285 -0.47935062  1.27325718]
grasp_center: [-0.05937727 -0.48181443  1.29837468]
grasp_center: [-0.04418505 -0.48116396  1.27465196]
grasp_center: [-0.06214422 -0.4819329   1.26715556]
grasp_center: [ 0.02336591 -0.47827172  1.26711686]
grasp_center: [-0.08647708 -0.48297472  1.29572426]
grasp_center: [-0.04350783 -0.48113497  1.30140943]
grasp_center: [-0.04354689 -0.48113664  1.270535  ]
